,source,source_lat,source_lng,target,target_lat,target_lng,weight
count,105,105.0,105.0,105,105.0,105.0,105.0
unique,21,,,21,,,
top,abyan,,,amanat al asimah,,,
freq,5,,,9,,,
mean,,1612326.9103103639,560083.6518676933,,1609470.5495826278,486516.0491990163,35.15951755434949
std,,119888.78721423673,300581.1871187334,,108826.04806754812,187122.04789456996,5.802303508875201
min,,1413414.8996473695,279153.2519347584,,1413414.8996473695,279153.2519347584,26.09616729977168
25%,,1514911.5982678996,393975.0323205535,,1514911.5982678996,393975.0323205535,29.37677943564597
50%,,1626148.635239956,470879.9633936708,,1626148.635239956,444268.5254077898,34.73078769773119
75%,,1709755.4170365373,540930.338796394,,1709755.4170365373,535024.7951991099,40.48264375612808
max,,1805664.967681152,1484659.5682649969,,1805664.967681152,1484659.5682649969,44.87418909440936
