commodity,regime,intercept,r_squared,adj_r_squared,mse,observations,moran_i,moran_p_value,coef_spatial_lag_price,pval_spatial_lag_price,vif_spatial_lag_price
beans (kidney red),unified,5.868602324263039,0.15365621940093632,0.152694465104801,10.678144409157573,882,-0.031125980604388415,0.025,1.3907777149755356,0.0,1.0
beans (white),unified,3.8423954255319153,0.12854848559046406,0.12761943280324706,6.193347676274827,940,-0.01944353073716131,0.096,0.9548014582065786,0.0,1.0
eggs,unified,0.3411322340425532,0.22290562860673213,0.2220771697886157,0.040144599890179024,940,-0.02963878600173722,0.015,0.10719528373551812,0.0,1.0
exchange rate (unofficial),unified,2.8376516768292683,0.20601870451826798,0.20521016959415217,2.369822997419526,984,-0.02920886916660487,0.023,0.783366935472905,0.0,1.0
fuel (diesel),unified,2.6789939361702126,0.02351463171388002,0.0224736025366028,2.8733028089645254,940,-0.011463097249020424,0.264,0.2627637157647291,2.3218634372934588e-06,1.0
fuel (gas),unified,21.738199189463018,0.03775484222895553,0.03677794359162445,187.14815572457002,987,-0.03751908194364598,0.008,2.707052441588522,7.485922992600536e-10,1.0
fuel (petrol-gasoline),unified,2.4243774062816614,0.030781641663813364,0.029797663635045657,5.451392080364386,987,-0.014343733427659346,0.141,0.4156705089595807,2.8886643965719827e-08,1.0
lentils,unified,4.418928882978723,0.13987337847226833,0.1389563991316204,8.09500980768252,940,-0.03459045716893397,0.009,1.1461290032741693,0.0,1.0
milling cost (wheat),unified,7.999222620380739,0.004333402455941049,0.003215931527159821,27.280812789981333,893,-0.010196670231652914,0.285,0.3441917117309595,0.04923563947319676,1.0
oil (vegetable),unified,4.2635831813576495,0.05791359608865998,0.05695716319128796,6.446145854574997,987,-0.013239709428808588,0.198,0.6288620583145013,1.7985612998927536e-14,1.0
"peas (yellow, split)",unified,2.3599911347517724,0.2783696953893624,0.27708565570144317,2.7500734397530877,564,-0.022786415878497484,0.128,1.0281514157120153,0.0,1.0
onions,unified,2.199390932117528,0.11250841328654804,0.11160740659952928,2.806568685075417,987,-0.02956089705873322,0.018,0.5958797757989216,0.0,1.0
potatoes,unified,2.192410638297872,0.29599292310846526,0.2952781951116211,1.8589340970136368,987,-0.06587652923451152,0.001,0.8831705498241446,0.0,1.0
rice (imported),unified,4.395349848024316,0.0990208401773196,0.0981061405226773,5.914927845330328,987,-0.019803777047587352,0.092,0.8054546382720101,0.0,1.0
salt,unified,0.7766327760891593,0.210368748213269,0.2095670921200845,0.2613576731806539,987,-0.0772404814780958,0.001,0.2636067369344293,0.0,1.0
sugar,unified,2.4149195035460993,0.10369940927156218,0.10278945943325923,2.5687855632414647,987,-0.021096762002302087,0.087,0.5446100562139429,0.0,1.0
tomatoes,unified,2.3369165146909827,0.26406861184365404,0.26332147337852074,3.097527190815196,987,-0.050118709754834616,0.001,1.0531924139755389,0.0,1.0
wage (non-qualified labour),unified,27.205770618034446,0.15585628484482028,0.1549992861492312,282.32902928293214,987,-0.04133975015203334,0.004,7.2126052252348325,0.0,1.0
wage (qualified labour),unified,46.908218693009125,0.14461672823900107,0.14374831882604577,710.5011111939061,987,-0.037959490011045136,0.003,10.948930546878138,0.0,1.0
wheat,unified,1.6152369807497469,0.1255548889816399,0.1246671274476111,1.04348085139761,987,-0.024233967146141993,0.05,0.38668133532240145,0.0,1.0
wheat flour,unified,1.8401625126646401,0.1201952558515228,0.11930205306558528,1.1401501422448774,987,-0.02231621046635961,0.072,0.3942683967011364,0.0,1.0
