,commodity,regime,intercept,r_squared,adj_r_squared,mse,observations,moran_i,moran_p_value,coef_spatial_lag_price,pval_spatial_lag_price,vif_spatial_lag_price
count,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
unique,21,1,,,,,,,,,,
top,beans (kidney red),unified,,,,,,,,,,
freq,1,21,,,,,,,,,,
mean,,,7.174194620441643,0.1388358252355754,0.13791676901236977,60.51658212922716,948.2857142857143,-0.030623947913797866,0.07242857142857143,1.5646362820424053,0.0023446662367565857,1.0
std,,,11.30658700206852,0.08398432769308349,0.0840330752834875,164.88759496289757,93.85102176169572,0.0171580193571841,0.08690084661760862,2.6266013386495244,0.010744071725209633,0.0
min,,,0.3411322340425532,0.004333402455941049,0.003215931527159821,0.040144599890179024,564.0,-0.0772404814780958,0.001,0.10719528373551812,0.0,1.0
25%,,,2.199390932117528,0.0990208401773196,0.0981061405226773,2.369822997419526,940.0,-0.03751908194364598,0.008,0.3942683967011364,0.0,1.0
50%,,,2.6789939361702126,0.12854848559046406,0.12761943280324706,3.097527190815196,987.0,-0.02920886916660487,0.025,0.783366935472905,0.0,1.0
75%,,,4.418928882978723,0.20601870451826798,0.20521016959415217,8.09500980768252,987.0,-0.019803777047587352,0.096,1.0531924139755389,0.0,1.0
max,,,46.908218693009125,0.29599292310846526,0.2952781951116211,710.5011111939061,987.0,-0.010196670231652914,0.285,10.948930546878138,0.04923563947319676,1.0
