2024-10-14 17:22:22,330 - INFO - Starting Price Differential Analysis
2024-10-14 17:22:22,337 - INFO - Loaded 17816 records from the GeoJSON file
2024-10-14 17:22:22,340 - INFO - Using base markets: ['aden', "sana'a"]
2024-10-14 17:22:22,341 - INFO - Available commodities in data: ['beans (kidney red)', 'beans (white)', 'eggs', 'exchange rate (unofficial)', 'fuel (diesel)', 'fuel (gas)', 'fuel (petrol-gasoline)', 'lentils', 'milling cost (wheat)', 'oil (vegetable)', 'onions', 'potatoes', 'rice (imported)', 'salt', 'sugar', 'tomatoes', 'wheat', 'wheat flour']
2024-10-14 17:22:22,341 - INFO - Processing base market: aden
2024-10-14 17:22:22,341 - INFO - Preparing market data for base market: aden
2024-10-14 17:22:22,354 - DEBUG - Prepared data for ('aden', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,356 - DEBUG - Prepared data for ('aden', 'beans (white)'): 47 records
2024-10-14 17:22:22,358 - DEBUG - Prepared data for ('aden', 'eggs'): 47 records
2024-10-14 17:22:22,360 - DEBUG - Prepared data for ('aden', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,361 - DEBUG - Prepared data for ('aden', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,362 - DEBUG - Prepared data for ('aden', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,363 - DEBUG - Prepared data for ('aden', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,364 - DEBUG - Prepared data for ('aden', 'lentils'): 47 records
2024-10-14 17:22:22,365 - DEBUG - Prepared data for ('aden', 'milling cost (wheat)'): 46 records
2024-10-14 17:22:22,367 - DEBUG - Prepared data for ('aden', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,368 - DEBUG - Prepared data for ('aden', 'onions'): 47 records
2024-10-14 17:22:22,369 - DEBUG - Prepared data for ('aden', 'potatoes'): 47 records
2024-10-14 17:22:22,371 - DEBUG - Prepared data for ('aden', 'rice (imported)'): 47 records
2024-10-14 17:22:22,373 - DEBUG - Prepared data for ('aden', 'salt'): 47 records
2024-10-14 17:22:22,374 - DEBUG - Prepared data for ('aden', 'sugar'): 47 records
2024-10-14 17:22:22,375 - DEBUG - Prepared data for ('aden', 'tomatoes'): 47 records
2024-10-14 17:22:22,376 - DEBUG - Prepared data for ('aden', 'wheat'): 47 records
2024-10-14 17:22:22,378 - DEBUG - Prepared data for ('aden', 'wheat flour'): 47 records
2024-10-14 17:22:22,380 - DEBUG - Prepared data for ('abyan', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,381 - DEBUG - Prepared data for ('abyan', 'beans (white)'): 47 records
2024-10-14 17:22:22,383 - DEBUG - Prepared data for ('abyan', 'eggs'): 47 records
2024-10-14 17:22:22,384 - DEBUG - Prepared data for ('abyan', 'exchange rate (unofficial)'): 47 records
