2024-10-14 14:09:12,475 - INFO - Starting Price Differential Analysis
2024-10-14 14:09:12,483 - INFO - Loaded 17816 records from the JSON file
2024-10-14 14:09:12,485 - INFO - Using base markets: ['aden', "sana'a"]
2024-10-14 14:09:12,486 - INFO - Available commodities in data: ['beans (kidney red)', 'beans (white)', 'eggs', 'exchange rate (unofficial)', 'fuel (diesel)', 'fuel (gas)', 'fuel (petrol-gasoline)', 'lentils', 'milling cost (wheat)', 'oil (vegetable)', 'onions', 'potatoes', 'rice (imported)', 'salt', 'sugar', 'tomatoes', 'wheat', 'wheat flour']
2024-10-14 14:09:12,486 - INFO - Processing base market: aden
2024-10-14 14:09:12,486 - INFO - Preparing market data for base market: aden
2024-10-14 14:09:12,496 - DEBUG - Prepared data for ('aden', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,497 - DEBUG - Prepared data for ('aden', 'beans (white)'): 47 records
2024-10-14 14:09:12,498 - DEBUG - Prepared data for ('aden', 'eggs'): 47 records
2024-10-14 14:09:12,500 - DEBUG - Prepared data for ('aden', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,501 - DEBUG - Prepared data for ('aden', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,502 - DEBUG - Prepared data for ('aden', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,503 - DEBUG - Prepared data for ('aden', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,504 - DEBUG - Prepared data for ('aden', 'lentils'): 47 records
2024-10-14 14:09:12,505 - DEBUG - Prepared data for ('aden', 'milling cost (wheat)'): 46 records
2024-10-14 14:09:12,506 - DEBUG - Prepared data for ('aden', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,507 - DEBUG - Prepared data for ('aden', 'onions'): 47 records
2024-10-14 14:09:12,508 - DEBUG - Prepared data for ('aden', 'potatoes'): 47 records
2024-10-14 14:09:12,510 - DEBUG - Prepared data for ('aden', 'rice (imported)'): 47 records
2024-10-14 14:09:12,510 - DEBUG - Prepared data for ('aden', 'salt'): 47 records
2024-10-14 14:09:12,511 - DEBUG - Prepared data for ('aden', 'sugar'): 47 records
2024-10-14 14:09:12,512 - DEBUG - Prepared data for ('aden', 'tomatoes'): 47 records
2024-10-14 14:09:12,513 - DEBUG - Prepared data for ('aden', 'wheat'): 47 records
2024-10-14 14:09:12,514 - DEBUG - Prepared data for ('aden', 'wheat flour'): 47 records
2024-10-14 14:09:12,515 - DEBUG - Prepared data for ('abyan', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,516 - DEBUG - Prepared data for ('abyan', 'beans (white)'): 47 records
2024-10-14 14:09:12,517 - DEBUG - Prepared data for ('abyan', 'eggs'): 47 records
2024-10-14 14:09:12,518 - DEBUG - Prepared data for ('abyan', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,519 - DEBUG - Prepared data for ('abyan', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,520 - DEBUG - Prepared data for ('abyan', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,521 - DEBUG - Prepared data for ('abyan', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,522 - DEBUG - Prepared data for ('abyan', 'lentils'): 47 records
2024-10-14 14:09:12,523 - DEBUG - Prepared data for ('abyan', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,524 - DEBUG - Prepared data for ('abyan', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,525 - DEBUG - Prepared data for ('abyan', 'onions'): 47 records
2024-10-14 14:09:12,526 - DEBUG - Prepared data for ('abyan', 'potatoes'): 47 records
2024-10-14 14:09:12,527 - DEBUG - Prepared data for ('abyan', 'rice (imported)'): 47 records
2024-10-14 14:09:12,528 - DEBUG - Prepared data for ('abyan', 'salt'): 47 records
2024-10-14 14:09:12,529 - DEBUG - Prepared data for ('abyan', 'sugar'): 47 records
2024-10-14 14:09:12,529 - DEBUG - Prepared data for ('abyan', 'tomatoes'): 47 records
2024-10-14 14:09:12,530 - DEBUG - Prepared data for ('abyan', 'wheat'): 47 records
2024-10-14 14:09:12,532 - DEBUG - Prepared data for ('abyan', 'wheat flour'): 47 records
2024-10-14 14:09:12,533 - DEBUG - Prepared data for ('al bayda', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,534 - DEBUG - Prepared data for ('al bayda', 'beans (white)'): 47 records
2024-10-14 14:09:12,535 - DEBUG - Prepared data for ('al bayda', 'eggs'): 47 records
2024-10-14 14:09:12,536 - DEBUG - Prepared data for ('al bayda', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,537 - DEBUG - Prepared data for ('al bayda', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,538 - DEBUG - Prepared data for ('al bayda', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,539 - DEBUG - Prepared data for ('al bayda', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,540 - DEBUG - Prepared data for ('al bayda', 'lentils'): 47 records
2024-10-14 14:09:12,541 - DEBUG - Prepared data for ('al bayda', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,542 - DEBUG - Prepared data for ('al bayda', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,543 - DEBUG - Prepared data for ('al bayda', 'onions'): 47 records
2024-10-14 14:09:12,544 - DEBUG - Prepared data for ('al bayda', 'potatoes'): 47 records
2024-10-14 14:09:12,545 - DEBUG - Prepared data for ('al bayda', 'rice (imported)'): 47 records
2024-10-14 14:09:12,546 - DEBUG - Prepared data for ('al bayda', 'salt'): 47 records
2024-10-14 14:09:12,546 - DEBUG - Prepared data for ('al bayda', 'sugar'): 47 records
