date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,0.15801219999999994,1.2021809,1.3601931,0.15801219999999994
2020-07-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,0.7095809,1.2021809,1.9117618,0.7095809
2020-07-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,0.15160229999999997,1.2021809,1.3537832,0.15160229999999997
2020-07-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,0.1897101000000001,1.170483,1.3601931,0.1897101000000001
2020-07-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,0.18330020000000014,1.170483,1.3537832,0.18330020000000014
2020-07-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,0.7412788000000001,1.170483,1.9117618,0.7412788000000001
2020-07-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,0.7579103,1.9117618,1.1538515,0.7579103
2020-07-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,0.7095809,1.9117618,1.2021809,0.7095809
2020-07-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,0.5515687,1.9117618,1.3601931,0.5515687
2020-07-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,0.7412788000000001,1.9117618,1.170483,0.7412788000000001
2020-07-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,0.13305990000000012,1.1538515,1.0207916,0.13305990000000012
2020-07-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,0.20634160000000001,1.1538515,1.3601931,0.20634160000000001
2020-07-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,0.19993170000000005,1.1538515,1.3537832,0.19993170000000005
2020-07-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,0.7579103,1.1538515,1.9117618,0.7579103
2020-07-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.2431021,1.4538963,1.6969984,0.2431021
2020-07-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,0.1727885,1.4538963,1.2811078,0.1727885
2020-07-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,0.33528249999999993,1.4538963,1.7891788,0.33528249999999993
2020-07-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,0.49381169999999996,1.4538963,1.947708,0.49381169999999996
2020-07-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,1.4538963,1.4538963,0.0,1.4538963
2020-07-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,0.8579832000000001,1.9902458,1.1322626,0.8579832000000001
2020-07-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,0.38439120000000004,1.9902458,1.6058546,0.38439120000000004
2020-07-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,1.9902458,1.9902458,0.0,1.9902458
2020-07-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,hajjah,1735805.5042575903,351073.2264011586,0.2010670000000001,1.9902458,1.7891788,0.2010670000000001
2020-07-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,shabwah,1607083.403143805,699110.4581984302,0.18095865999999994,0.98263174,1.1635904,0.18095865999999994
2020-07-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,marib,1709755.4170365373,535024.7951991099,0.14963086000000003,0.98263174,1.1322626,0.14963086000000003
2020-07-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,al bayda,1545869.2668154777,562191.4482966167,0.9291300600000001,0.98263174,1.9117618,0.9291300600000001
2020-07-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,hajjah,1735805.5042575903,351073.2264011586,0.5080709999999999,1.2811078,1.7891788,0.5080709999999999
2020-07-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,amran,1731425.0945279438,386679.5361423165,0.6666002,1.2811078,1.947708,0.6666002
2020-07-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,amanat al asimah,1696998.714254215,413747.54216314765,1.2811078,1.2811078,0.0,1.2811078
2020-07-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,raymah,1626148.635239956,349117.30304702686,0.4158906,1.2811078,1.6969984,0.4158906
2020-07-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,al hudaydah,1636434.4562545866,279153.2519347584,0.1727885,1.2811078,1.4538963,0.1727885
2020-07-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,sana'a,1683424.5251799258,444268.5254077898,1.6058546,0.0,1.6058546,1.6058546
2020-07-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,amran,1731425.0945279438,386679.5361423165,1.947708,0.0,1.947708,1.947708
2020-07-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,al mahwit,1710572.7821730792,343747.8114166759,1.2811078,0.0,1.2811078,1.2811078
2020-07-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,hajjah,1735805.5042575903,351073.2264011586,1.7891788,0.0,1.7891788,1.7891788
2020-07-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,1.8246037,0.0,1.8246037,1.8246037
2020-07-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,hajjah,1735805.5042575903,351073.2264011586,0.15852920000000004,1.947708,1.7891788,0.15852920000000004
2020-07-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,amanat al asimah,1696998.714254215,413747.54216314765,1.947708,1.947708,0.0,1.947708
2020-07-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,al mahwit,1710572.7821730792,343747.8114166759,0.6666002,1.947708,1.2811078,0.6666002
2020-07-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,sana'a,1683424.5251799258,444268.5254077898,0.3418534,1.947708,1.6058546,0.3418534
2020-07-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,0.8038121,1.8246037,1.0207916,0.8038121
2020-07-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,sana'a,1683424.5251799258,444268.5254077898,0.21874909999999992,1.8246037,1.6058546,0.21874909999999992
2020-07-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,raymah,1626148.635239956,349117.30304702686,0.12760529999999992,1.8246037,1.6969984,0.12760529999999992
2020-07-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,1.8246037,1.8246037,0.0,1.8246037
2020-07-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,0.6707521999999999,1.8246037,1.1538515,0.6707521999999999
2020-07-01,fuel (diesel),hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,0.13914459999999984,1.0244458,1.1635904,0.13914459999999984
2020-07-01,fuel (diesel),hadramaut,1688561.031182205,925529.1179596668,al bayda,1545869.2668154777,562191.4482966167,0.887316,1.0244458,1.9117618,0.887316
2020-07-01,fuel (diesel),hadramaut,1688561.031182205,925529.1179596668,marib,1709755.4170365373,535024.7951991099,0.10781679999999993,1.0244458,1.1322626,0.10781679999999993
2020-07-01,fuel (diesel),hadramaut,1688561.031182205,925529.1179596668,abyan,1451453.433761742,540930.338796394,0.17773510000000003,1.0244458,1.2021809,0.17773510000000003
2020-07-01,fuel (diesel),hajjah,1735805.5042575903,351073.2264011586,al mahwit,1710572.7821730792,343747.8114166759,0.5080709999999999,1.7891788,1.2811078,0.5080709999999999
2020-07-01,fuel (diesel),hajjah,1735805.5042575903,351073.2264011586,amran,1731425.0945279438,386679.5361423165,0.15852920000000004,1.7891788,1.947708,0.15852920000000004
2020-07-01,fuel (diesel),hajjah,1735805.5042575903,351073.2264011586,amanat al asimah,1696998.714254215,413747.54216314765,1.7891788,1.7891788,0.0,1.7891788
2020-07-01,fuel (diesel),hajjah,1735805.5042575903,351073.2264011586,sana'a,1683424.5251799258,444268.5254077898,0.18332419999999994,1.7891788,1.6058546,0.18332419999999994
2020-07-01,fuel (diesel),ibb,1545240.393413971,411980.9012852698,taizz,1501490.1068909634,393975.03232055355,0.33299160000000017,1.0207916,1.3537832,0.33299160000000017
2020-07-01,fuel (diesel),ibb,1545240.393413971,411980.9012852698,al dhale'e,1514911.5982678996,470879.9633936708,0.13305990000000012,1.0207916,1.1538515,0.13305990000000012
2020-07-01,fuel (diesel),ibb,1545240.393413971,411980.9012852698,dhamar,1607976.2967569984,434812.9555183367,0.8038121,1.0207916,1.8246037,0.8038121
2020-07-01,fuel (diesel),ibb,1545240.393413971,411980.9012852698,raymah,1626148.635239956,349117.30304702686,0.6762068000000001,1.0207916,1.6969984,0.6762068000000001
2020-07-01,fuel (diesel),ibb,1545240.393413971,411980.9012852698,lahj,1443403.357394038,487346.6774931812,0.33940150000000013,1.0207916,1.3601931,0.33940150000000013
2020-07-01,fuel (diesel),lahj,1443403.357394038,487346.6774931812,aden,1413414.8996473695,502024.6752111473,0.1897101000000001,1.3601931,1.170483,0.1897101000000001
2020-07-01,fuel (diesel),lahj,1443403.357394038,487346.6774931812,abyan,1451453.433761742,540930.338796394,0.15801219999999994,1.3601931,1.2021809,0.15801219999999994
2020-07-01,fuel (diesel),lahj,1443403.357394038,487346.6774931812,al dhale'e,1514911.5982678996,470879.9633936708,0.20634160000000001,1.3601931,1.1538515,0.20634160000000001
2020-07-01,fuel (diesel),lahj,1443403.357394038,487346.6774931812,ibb,1545240.393413971,411980.9012852698,0.33940150000000013,1.3601931,1.0207916,0.33940150000000013
2020-07-01,fuel (diesel),marib,1709755.4170365373,535024.7951991099,sana'a,1683424.5251799258,444268.5254077898,0.473592,1.1322626,1.6058546,0.473592
2020-07-01,fuel (diesel),marib,1709755.4170365373,535024.7951991099,al jawf,1787696.8583625571,476286.69293194957,0.8579832000000001,1.1322626,1.9902458,0.8579832000000001
2020-07-01,fuel (diesel),marib,1709755.4170365373,535024.7951991099,amanat al asimah,1696998.714254215,413747.54216314765,1.1322626,1.1322626,0.0,1.1322626
2020-07-01,fuel (diesel),marib,1709755.4170365373,535024.7951991099,dhamar,1607976.2967569984,434812.9555183367,0.6923410999999999,1.1322626,1.8246037,0.6923410999999999
2020-07-01,fuel (diesel),marib,1709755.4170365373,535024.7951991099,amran,1731425.0945279438,386679.5361423165,0.8154454,1.1322626,1.947708,0.8154454
2020-07-01,fuel (diesel),raymah,1626148.635239956,349117.30304702686,al hudaydah,1636434.4562545866,279153.2519347584,0.2431021,1.6969984,1.4538963,0.2431021
2020-07-01,fuel (diesel),raymah,1626148.635239956,349117.30304702686,al mahwit,1710572.7821730792,343747.8114166759,0.4158906,1.6969984,1.2811078,0.4158906
2020-07-01,fuel (diesel),raymah,1626148.635239956,349117.30304702686,dhamar,1607976.2967569984,434812.9555183367,0.12760529999999992,1.6969984,1.8246037,0.12760529999999992
2020-07-01,fuel (diesel),raymah,1626148.635239956,349117.30304702686,amanat al asimah,1696998.714254215,413747.54216314765,1.6969984,1.6969984,0.0,1.6969984
2020-07-01,fuel (diesel),raymah,1626148.635239956,349117.30304702686,ibb,1545240.393413971,411980.9012852698,0.6762068000000001,1.6969984,1.0207916,0.6762068000000001
2020-07-01,fuel (diesel),sana'a,1683424.5251799258,444268.5254077898,amanat al asimah,1696998.714254215,413747.54216314765,1.6058546,1.6058546,0.0,1.6058546
2020-07-01,fuel (diesel),sana'a,1683424.5251799258,444268.5254077898,amran,1731425.0945279438,386679.5361423165,0.3418534,1.6058546,1.947708,0.3418534
2020-07-01,fuel (diesel),sana'a,1683424.5251799258,444268.5254077898,dhamar,1607976.2967569984,434812.9555183367,0.21874909999999992,1.6058546,1.8246037,0.21874909999999992
2020-07-01,fuel (diesel),sana'a,1683424.5251799258,444268.5254077898,marib,1709755.4170365373,535024.7951991099,0.473592,1.6058546,1.1322626,0.473592
2020-07-01,fuel (diesel),sana'a,1683424.5251799258,444268.5254077898,al mahwit,1710572.7821730792,343747.8114166759,0.3247468,1.6058546,1.2811078,0.3247468
2020-07-01,fuel (diesel),shabwah,1607083.403143805,699110.4581984302,al bayda,1545869.2668154777,562191.4482966167,0.7481714000000002,1.1635904,1.9117618,0.7481714000000002
2020-07-01,fuel (diesel),shabwah,1607083.403143805,699110.4581984302,hadramaut,1688561.031182205,925529.1179596668,0.13914459999999984,1.1635904,1.0244458,0.13914459999999984
2020-07-01,fuel (diesel),socotra,1415534.3742756257,1484659.5682649969,shabwah,1607083.403143805,699110.4581984302,0.14466099999999993,1.0189294,1.1635904,0.14466099999999993
2020-07-01,fuel (diesel),socotra,1415534.3742756257,1484659.5682649969,al bayda,1545869.2668154777,562191.4482966167,0.8928324000000001,1.0189294,1.9117618,0.8928324000000001
2020-07-01,fuel (diesel),socotra,1415534.3742756257,1484659.5682649969,abyan,1451453.433761742,540930.338796394,0.18325150000000012,1.0189294,1.2021809,0.18325150000000012
2020-07-01,fuel (diesel),taizz,1501490.1068909634,393975.03232055355,ibb,1545240.393413971,411980.9012852698,0.33299160000000017,1.3537832,1.0207916,0.33299160000000017
2020-07-01,fuel (diesel),taizz,1501490.1068909634,393975.03232055355,al dhale'e,1514911.5982678996,470879.9633936708,0.19993170000000005,1.3537832,1.1538515,0.19993170000000005
2020-07-01,fuel (diesel),taizz,1501490.1068909634,393975.03232055355,dhamar,1607976.2967569984,434812.9555183367,0.47082049999999986,1.3537832,1.8246037,0.47082049999999986
2020-07-01,fuel (diesel),taizz,1501490.1068909634,393975.03232055355,raymah,1626148.635239956,349117.30304702686,0.34321519999999994,1.3537832,1.6969984,0.34321519999999994
2020-08-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,0.10915903999999987,1.1017472,0.99258816,0.10915903999999987
2020-08-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,0.8479909000000001,1.1017472,1.9497381,0.8479909000000001
2020-08-01,fuel (diesel),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,0.16592050000000014,1.1017472,1.2676677,0.16592050000000014
2020-08-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,0.1851483399999999,0.99258816,1.1777365,0.1851483399999999
2020-08-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,0.10915903999999987,0.99258816,1.1017472,0.10915903999999987
2020-08-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,0.27507954,0.99258816,1.2676677,0.27507954
2020-08-01,fuel (diesel),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,0.95714994,0.99258816,1.9497381,0.95714994
2020-08-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,0.8743398,1.9497381,1.0753983,0.8743398
2020-08-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,0.8479909000000001,1.9497381,1.1017472,0.8479909000000001
2020-08-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,0.7720016000000001,1.9497381,1.1777365,0.7720016000000001
2020-08-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,0.14443509999999993,1.9497381,1.805303,0.14443509999999993
2020-08-01,fuel (diesel),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,0.95714994,1.9497381,0.99258816,0.95714994
2020-08-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,0.10233819999999993,1.0753983,1.1777365,0.10233819999999993
2020-08-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,0.19226940000000003,1.0753983,1.2676677,0.19226940000000003
2020-08-01,fuel (diesel),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,0.8743398,1.0753983,1.9497381,0.8743398
2020-08-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.16274980000000006,1.5906307,1.7533805,0.16274980000000006
2020-08-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,0.24587460000000005,1.5906307,1.3447561,0.24587460000000005
2020-08-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,0.22416100000000005,1.5906307,1.8147917,0.22416100000000005
2020-08-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,0.22948590000000002,1.5906307,1.8201166,0.22948590000000002
2020-08-01,fuel (diesel),al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,1.5906307,1.5906307,0.0,1.5906307
2020-08-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,0.7515442999999999,1.8973044,1.1457601,0.7515442999999999
2020-08-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,0.19018789999999997,1.8973044,1.7071165,0.19018789999999997
2020-08-01,fuel (diesel),al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,1.8973044,1.8973044,0.0,1.8973044
2020-08-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,shabwah,1607083.403143805,699110.4581984302,0.19689138000000006,0.89953482,1.0964262,0.19689138000000006
2020-08-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,marib,1709755.4170365373,535024.7951991099,0.24622528,0.89953482,1.1457601,0.24622528
2020-08-01,fuel (diesel),al maharah,1805664.967681152,1269216.867839362,al bayda,1545869.2668154777,562191.4482966167,1.05020328,0.89953482,1.9497381,1.05020328
2020-08-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,hajjah,1735805.5042575903,351073.2264011586,0.4700356000000001,1.3447561,1.8147917,0.4700356000000001
2020-08-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,amran,1731425.0945279438,386679.5361423165,0.4753605000000001,1.3447561,1.8201166,0.4753605000000001
2020-08-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,amanat al asimah,1696998.714254215,413747.54216314765,1.3447561,1.3447561,0.0,1.3447561
2020-08-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,raymah,1626148.635239956,349117.30304702686,0.4086244000000001,1.3447561,1.7533805,0.4086244000000001
2020-08-01,fuel (diesel),al mahwit,1710572.7821730792,343747.8114166759,al hudaydah,1636434.4562545866,279153.2519347584,0.24587460000000005,1.3447561,1.5906307,0.24587460000000005
2020-08-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,sana'a,1683424.5251799258,444268.5254077898,1.7071165,0.0,1.7071165,1.7071165
2020-08-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,amran,1731425.0945279438,386679.5361423165,1.8201166,0.0,1.8201166,1.8201166
2020-08-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,al mahwit,1710572.7821730792,343747.8114166759,1.3447561,0.0,1.3447561,1.3447561
2020-08-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,hajjah,1735805.5042575903,351073.2264011586,1.8147917,0.0,1.8147917,1.8147917
2020-08-01,fuel (diesel),amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,1.805303,0.0,1.805303,1.805303
2020-08-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,amanat al asimah,1696998.714254215,413747.54216314765,1.8201166,1.8201166,0.0,1.8201166
2020-08-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,al mahwit,1710572.7821730792,343747.8114166759,0.4753605000000001,1.8201166,1.3447561,0.4753605000000001
2020-08-01,fuel (diesel),amran,1731425.0945279438,386679.5361423165,sana'a,1683424.5251799258,444268.5254077898,0.11300010000000005,1.8201166,1.7071165,0.11300010000000005
2020-08-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,0.7194674000000001,1.805303,1.0858356,0.7194674000000001
2020-08-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,1.805303,1.805303,0.0,1.805303
2020-08-01,fuel (diesel),dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,0.7299047000000001,1.805303,1.0753983,0.7299047000000001
2020-08-01,fuel (diesel),hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,0.22988785,0.86653835,1.0964262,0.22988785
