date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,fuel (gas),abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,5.9749430000000014,11.31518,17.290123,5.9749430000000014
2020-07-01,fuel (gas),abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,2.6430054999999992,11.31518,8.6721745,2.6430054999999992
2020-07-01,fuel (gas),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,11.117813,11.31518,22.432993,11.117813
2020-07-01,fuel (gas),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,1.448671000000001,11.31518,12.763851,1.448671000000001
2020-07-01,fuel (gas),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,8.6179485,8.6721745,17.290123,8.6179485
2020-07-01,fuel (gas),aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,2.6430054999999992,8.6721745,11.31518,2.6430054999999992
2020-07-01,fuel (gas),aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,2.559305499999999,8.6721745,11.23148,2.559305499999999
2020-07-01,fuel (gas),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,4.0916765,8.6721745,12.763851,4.0916765
2020-07-01,fuel (gas),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,13.7608185,8.6721745,22.432993,13.7608185
2020-07-01,fuel (gas),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,11.201513,22.432993,11.23148,11.201513
2020-07-01,fuel (gas),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,11.117813,22.432993,11.31518,11.117813
2020-07-01,fuel (gas),al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,5.1428699999999985,22.432993,17.290123,5.1428699999999985
2020-07-01,fuel (gas),al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,1.4944729999999993,22.432993,20.93852,1.4944729999999993
2020-07-01,fuel (gas),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,13.7608185,22.432993,8.6721745,13.7608185
2020-07-01,fuel (gas),al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,8.930984,11.23148,20.162464,8.930984
2020-07-01,fuel (gas),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,6.058643000000002,11.23148,17.290123,6.058643000000002
2020-07-01,fuel (gas),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,1.5323710000000013,11.23148,12.763851,1.5323710000000013
2020-07-01,fuel (gas),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,11.201513,11.23148,22.432993,11.201513
2020-07-01,fuel (gas),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,5.492536999999999,22.882565,17.390028,5.492536999999999
2020-07-01,fuel (gas),al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,7.709818,22.882565,15.172747,7.709818
2020-07-01,fuel (gas),al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,5.3590589999999985,22.882565,17.523506,5.3590589999999985
2020-07-01,fuel (gas),al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,2.7233729999999987,22.882565,25.605938,2.7233729999999987
