date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,potatoes,abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,0.2715117,1.4060838,1.1345721,0.2715117
2020-07-01,potatoes,abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,0.30944499999999997,1.4060838,1.7155288,0.30944499999999997
2020-07-01,potatoes,abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,0.10579310000000008,1.4060838,1.5118769,0.10579310000000008
2020-07-01,potatoes,aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,0.17171460000000005,1.1345721,1.3062867,0.17171460000000005
2020-07-01,potatoes,aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,0.2715117,1.1345721,1.4060838,0.2715117
2020-07-01,potatoes,aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,0.5809567,1.1345721,1.7155288,0.5809567
2020-07-01,potatoes,aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,0.3773048000000001,1.1345721,1.5118769,0.3773048000000001
2020-07-01,potatoes,aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,0.20207489999999995,1.1345721,1.336647,0.20207489999999995
2020-07-01,potatoes,al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,0.37888180000000005,1.336647,1.7155288,0.37888180000000005
2020-07-01,potatoes,al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,0.20207489999999995,1.336647,1.1345721,0.20207489999999995
2020-07-01,potatoes,al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,0.6996423999999999,1.7155288,1.0158864,0.6996423999999999
2020-07-01,potatoes,al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,0.40924209999999994,1.7155288,1.3062867,0.40924209999999994
2020-07-01,potatoes,al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,0.20365189999999989,1.7155288,1.5118769,0.20365189999999989
2020-07-01,potatoes,al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,0.30944499999999997,1.7155288,1.4060838,0.30944499999999997
2020-07-01,potatoes,al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,0.37888180000000005,1.7155288,1.336647,0.37888180000000005
2020-07-01,potatoes,al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.5048845999999998,1.1267735,1.6316581,0.5048845999999998
2020-07-01,potatoes,al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,0.12489240000000001,1.1267735,1.2516659,0.12489240000000001
2020-07-01,potatoes,al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,0.1763135,1.1267735,1.303087,0.1763135
2020-07-01,potatoes,al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,0.33159039999999984,1.2534384,1.5850288,0.33159039999999984
2020-07-01,potatoes,al maharah,1805664.967681152,1269216.867839362,hadramaut,1688561.031182205,925529.1179596668,0.7104503,2.166023,1.4555727,0.7104503
2020-07-01,potatoes,al maharah,1805664.967681152,1269216.867839362,socotra,1415534.3742756257,1484659.5682649969,1.0666916999999998,2.166023,3.2327147,1.0666916999999998
2020-07-01,potatoes,al maharah,1805664.967681152,1269216.867839362,shabwah,1607083.403143805,699110.4581984302,1.24230663,2.166023,0.92371637,1.24230663
2020-07-01,potatoes,al maharah,1805664.967681152,1269216.867839362,marib,1709755.4170365373,535024.7951991099,0.5809942000000001,2.166023,1.5850288,0.5809942000000001
2020-07-01,potatoes,al maharah,1805664.967681152,1269216.867839362,al bayda,1545869.2668154777,562191.4482966167,0.8293760000000001,2.166023,1.336647,0.8293760000000001
2020-07-01,potatoes,al mahwit,1710572.7821730792,343747.8114166759,raymah,1626148.635239956,349117.30304702686,0.3799921999999998,1.2516659,1.6316581,0.3799921999999998
2020-07-01,potatoes,al mahwit,1710572.7821730792,343747.8114166759,al hudaydah,1636434.4562545866,279153.2519347584,0.12489240000000001,1.2516659,1.1267735,0.12489240000000001
2020-07-01,potatoes,amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,0.16465640000000015,1.2222543,1.3869107,0.16465640000000015
2020-07-01,potatoes,dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,0.3710243,1.3869107,1.0158864,0.3710243
2020-07-01,potatoes,dhamar,1607976.2967569984,434812.9555183367,sana'a,1683424.5251799258,444268.5254077898,0.11915779999999998,1.3869107,1.2677529,0.11915779999999998
2020-07-01,potatoes,dhamar,1607976.2967569984,434812.9555183367,raymah,1626148.635239956,349117.30304702686,0.24474739999999984,1.3869107,1.6316581,0.24474739999999984
2020-07-01,potatoes,dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,0.16465640000000015,1.3869107,1.2222543,0.16465640000000015
2020-07-01,potatoes,dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,0.3286180999999999,1.3869107,1.7155288,0.3286180999999999
2020-07-01,potatoes,hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,0.5318563300000001,1.4555727,0.92371637,0.5318563300000001
2020-07-01,potatoes,hadramaut,1688561.031182205,925529.1179596668,al maharah,1805664.967681152,1269216.867839362,0.7104503,1.4555727,2.166023,0.7104503
2020-07-01,potatoes,hadramaut,1688561.031182205,925529.1179596668,al bayda,1545869.2668154777,562191.4482966167,0.11892570000000013,1.4555727,1.336647,0.11892570000000013
2020-07-01,potatoes,hadramaut,1688561.031182205,925529.1179596668,marib,1709755.4170365373,535024.7951991099,0.12945609999999985,1.4555727,1.5850288,0.12945609999999985
2020-07-01,potatoes,hajjah,1735805.5042575903,351073.2264011586,raymah,1626148.635239956,349117.30304702686,0.3285710999999998,1.303087,1.6316581,0.3285710999999998
2020-07-01,potatoes,ibb,1545240.393413971,411980.9012852698,taizz,1501490.1068909634,393975.03232055355,0.4959905,1.0158864,1.5118769,0.4959905
2020-07-01,potatoes,ibb,1545240.393413971,411980.9012852698,al dhale'e,1514911.5982678996,470879.9633936708,0.6996423999999999,1.0158864,1.7155288,0.6996423999999999
2020-07-01,potatoes,ibb,1545240.393413971,411980.9012852698,dhamar,1607976.2967569984,434812.9555183367,0.3710243,1.0158864,1.3869107,0.3710243
2020-07-01,potatoes,ibb,1545240.393413971,411980.9012852698,raymah,1626148.635239956,349117.30304702686,0.6157716999999998,1.0158864,1.6316581,0.6157716999999998
2020-07-01,potatoes,ibb,1545240.393413971,411980.9012852698,lahj,1443403.357394038,487346.6774931812,0.29040029999999994,1.0158864,1.3062867,0.29040029999999994
2020-07-01,potatoes,lahj,1443403.357394038,487346.6774931812,aden,1413414.8996473695,502024.6752111473,0.17171460000000005,1.3062867,1.1345721,0.17171460000000005
2020-07-01,potatoes,lahj,1443403.357394038,487346.6774931812,al dhale'e,1514911.5982678996,470879.9633936708,0.40924209999999994,1.3062867,1.7155288,0.40924209999999994
2020-07-01,potatoes,lahj,1443403.357394038,487346.6774931812,taizz,1501490.1068909634,393975.03232055355,0.20559020000000006,1.3062867,1.5118769,0.20559020000000006
