date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,rice (imported),abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,0.6709720999999997,2.9456649,3.616637,0.6709720999999997
2020-07-01,rice (imported),abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,0.5601251,2.9456649,3.50579,0.5601251
2020-07-01,rice (imported),abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,0.7725,2.9456649,3.7181649,0.7725
2020-07-01,rice (imported),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,0.15752860000000002,2.9456649,3.1031935,0.15752860000000002
2020-07-01,rice (imported),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,0.37450689999999964,2.9456649,3.3201718,0.37450689999999964
2020-07-01,rice (imported),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,0.1108469999999997,3.50579,3.616637,0.1108469999999997
2020-07-01,rice (imported),aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,0.5601251,3.50579,2.9456649,0.5601251
2020-07-01,rice (imported),aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,0.21237489999999992,3.50579,3.7181649,0.21237489999999992
2020-07-01,rice (imported),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,0.1856182000000004,3.50579,3.3201718,0.1856182000000004
2020-07-01,rice (imported),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,0.4025965,3.50579,3.1031935,0.4025965
2020-07-01,rice (imported),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,0.6149714,3.1031935,3.7181649,0.6149714
2020-07-01,rice (imported),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,0.15752860000000002,3.1031935,2.9456649,0.15752860000000002
2020-07-01,rice (imported),al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,0.5134434999999997,3.1031935,3.616637,0.5134434999999997
2020-07-01,rice (imported),al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,0.1430990000000003,3.1031935,2.9600945,0.1430990000000003
2020-07-01,rice (imported),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,0.4025965,3.1031935,3.50579,0.4025965
2020-07-01,rice (imported),al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,0.9220094000000003,3.7181649,2.7961555,0.9220094000000003
2020-07-01,rice (imported),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,0.10152790000000023,3.7181649,3.616637,0.10152790000000023
2020-07-01,rice (imported),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,0.3979931000000003,3.7181649,3.3201718,0.3979931000000003
2020-07-01,rice (imported),al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,0.7725,3.7181649,2.9456649,0.7725
2020-07-01,rice (imported),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,0.6149714,3.7181649,3.1031935,0.6149714
2020-07-01,rice (imported),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.32307200000000025,2.8380172,3.1610892,0.32307200000000025
2020-07-01,rice (imported),al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,0.2710307000000003,2.8380172,3.1090479,0.2710307000000003
