date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,wage (qualified labour),abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,4.627898000000002,22.852697,27.480595,4.627898000000002
2020-07-01,wage (qualified labour),abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,22.090136,22.852697,44.942833,22.090136
2020-07-01,wage (qualified labour),abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,15.511183000000003,22.852697,38.36388,15.511183000000003
2020-07-01,wage (qualified labour),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,6.379874000000001,22.852697,29.232571,6.379874000000001
2020-07-01,wage (qualified labour),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,1.3984159999999974,22.852697,21.454281,1.3984159999999974
2020-07-01,wage (qualified labour),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,17.462238,44.942833,27.480595,17.462238
2020-07-01,wage (qualified labour),aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,22.090136,44.942833,22.852697,22.090136
2020-07-01,wage (qualified labour),aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,6.5789529999999985,44.942833,38.36388,6.5789529999999985
2020-07-01,wage (qualified labour),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,23.488552,44.942833,21.454281,23.488552
2020-07-01,wage (qualified labour),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,15.710262,44.942833,29.232571,15.710262
2020-07-01,wage (qualified labour),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,9.131309000000002,29.232571,38.36388,9.131309000000002
2020-07-01,wage (qualified labour),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,6.379874000000001,29.232571,22.852697,6.379874000000001
2020-07-01,wage (qualified labour),al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,1.751975999999999,29.232571,27.480595,1.751975999999999
2020-07-01,wage (qualified labour),al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,5.9587900000000005,29.232571,23.273781,5.9587900000000005
2020-07-01,wage (qualified labour),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,15.710262,29.232571,44.942833,15.710262
2020-07-01,wage (qualified labour),al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,11.963163000000002,38.36388,26.400717,11.963163000000002
2020-07-01,wage (qualified labour),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,10.883285,38.36388,27.480595,10.883285
2020-07-01,wage (qualified labour),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,16.909599,38.36388,21.454281,16.909599
2020-07-01,wage (qualified labour),al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,15.511183000000003,38.36388,22.852697,15.511183000000003
2020-07-01,wage (qualified labour),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,9.131309000000002,38.36388,29.232571,9.131309000000002
2020-07-01,wage (qualified labour),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,2.722691000000001,21.741484,19.018793,2.722691000000001
2020-07-01,wage (qualified labour),al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,3.8783320000000003,21.741484,25.619816,3.8783320000000003
2020-07-01,wage (qualified labour),al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,3.1098099999999995,21.741484,18.631674,3.1098099999999995
2020-07-01,wage (qualified labour),al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,1.999880000000001,21.741484,23.741364,1.999880000000001
